Date,Score,Name
8/30/2021,0,Pierre
8/31/2021,30,Pierre
9/14/2021,30,Pierre
9/16/2021,0,Pierre
9/29/2021,30,Pierre
10/11/21,30,Pierre
10/25/2021,30,Pierre
11/10/21,30,Pierre
11/22/2021,0,Pierre
11/24/2021,12,Pierre
12/6/21,0,Pierre
12/8/21,12,Pierre
12/21/2021,0,Pierre
12/23/2021,30,Pierre
1/4/22,0,Pierre
1/5/22,30,Pierre
1/19/2022,0,Pierre
1/20/2022,30,Pierre
2/3/22,30,Pierre
2/4/22,0,Pierre
2/15/2022,0,Pierre
2/16/2022,30,Pierre
2/28/2022,0,Pierre
3/3/22,30,Pierre
3/14/2022,0,Pierre
3/15/2022,30,Pierre
8/30/2021,0,Yellow
8/31/2021,12,Yellow
9/14/2021,12,Yellow
9/16/2021,0,Yellow
9/29/2021,12,Yellow
10/11/21,12,Yellow
10/25/2021,12,Yellow
11/10/21,12,Yellow
11/22/2021,0,Yellow
11/24/2021,12,Yellow
12/6/21,0,Yellow
12/8/21,12,Yellow
12/21/2021,0,Yellow
12/23/2021,12,Yellow
1/4/22,0,Yellow
1/5/22,12,Yellow
1/19/2022,0,Yellow
1/20/2022,12,Yellow
2/3/22,12,Yellow
2/4/22,0,Yellow
2/15/2022,0,Yellow
2/16/2022,12,Yellow
2/28/2022,0,Yellow
3/3/22,12,Yellow
3/14/2022,0,Yellow
3/15/2022,0,Yellow
8/30/2021,0,Blue
8/31/2021,12,Blue
9/14/2021,12,Blue
9/16/2021,0,Blue
9/29/2021,12,Blue
10/11/21,12,Blue
10/25/2021,12,Blue
11/10/21,12,Blue
11/22/2021,0,Blue
11/24/2021,12,Blue
12/6/21,0,Blue
12/8/21,12,Blue
12/21/2021,0,Blue
12/23/2021,12,Blue
1/4/22,0,Blue
1/5/22,12,Blue
1/19/2022,0,Blue
1/20/2022,12,Blue
2/3/22,12,Blue
2/4/22,0,Blue
2/15/2022,0,Blue
2/16/2022,12,Blue
2/28/2022,0,Blue
3/3/22,12,Blue
3/14/2022,0,Blue
3/15/2022,0,Blue
8/30/2021,0,Purple
8/31/2021,24,Purple
9/14/2021,24,Purple
9/16/2021,0,Purple
9/29/2021,24,Purple
10/11/21,24,Purple
10/25/2021,24,Purple
11/10/21,24,Purple
11/22/2021,0,Purple
11/24/2021,24,Purple
12/6/21,0,Purple
12/8/21,24,Purple
12/21/2021,0,Purple
12/23/2021,24,Purple
1/4/22,0,Purple
1/5/22,30,Purple
1/19/2022,0,Purple
1/20/2022,30,Purple
2/3/22,30,Purple
2/4/22,0,Purple
